date,EMB,ICLN,SRLN
2020-11-18 05:00:00,89.45443725585938,20.21385765075684,31.898345947265625
2020-11-19 05:00:00,89.6588363647461,20.504907608032227,31.94096565246582
2020-11-20 05:00:00,89.72174835205078,20.739625930786133,31.9978084564209
2020-11-23 05:00:00,89.65099334716797,21.13395500183105,32.026214599609375
2020-11-24 05:00:00,89.77678680419922,21.424999237060547,32.09726333618164
2020-11-25 05:00:00,89.70604705810547,21.791160583496094,32.1043701171875
2020-11-27 05:00:00,89.99691772460938,22.147932052612305,32.1043701171875
2020-11-30 05:00:00,89.82392883300781,22.091602325439453,32.054622650146484
2020-12-01 05:00:00,90.04959106445312,21.88504409790039,32.12596130371094
2020-12-02 05:00:00,90.096923828125,21.68788719177246,32.24720764160156
2020-12-03 05:00:00,90.47560119628906,21.53766441345215,32.2115592956543
2020-12-04 05:00:00,90.55449676513672,21.6033878326416,32.28287506103516
2020-12-07 05:00:00,90.5387191772461,21.6972713470459,32.41127395629883
2020-12-08 05:00:00,90.38883972167967,22.279375076293945,32.38273620605469
2020-12-09 05:00:00,90.16793823242188,21.734827041625977,32.38273620605469
2020-12-10 05:00:00,90.61758422851562,22.063432693481445,32.48259735107422
2020-12-11 05:00:00,90.66496276855467,22.18548583984375,32.41127395629883
2020-12-14 05:00:00,90.66496276855467,22.505107879638672,32.39699935913086
2020-12-15 05:00:00,90.97262573242188,23.5579776763916,32.4611930847168
2020-12-16 05:00:00,91.03572845458984,23.5579776763916,32.45406723022461
2020-12-17 05:00:00,91.3326416015625,24.02800750732422,32.45406723022461
2020-12-18 05:00:00,91.21388244628906,24.35703086853028,32.47553634643555
2020-12-21 05:00:00,90.95264434814452,24.78005790710449,32.41112518310547
2020-12-22 05:00:00,91.0634536743164,25.682518005371094,32.39680480957031
2020-12-23 05:00:00,91.19802856445312,26.09614562988281,32.50417709350586
2020-12-24 05:00:00,91.42761993408205,26.04914093017578,32.53281021118164
2020-12-28 05:00:00,91.4513702392578,26.25595474243164,32.60437774658203
2020-12-29 05:00:00,91.58594512939452,26.002140045166016,32.57575607299805
2020-12-30 05:00:00,91.70468139648438,26.60784912109375,32.62587356567383
2020-12-31 05:00:00,91.76011657714844,26.560821533203125,32.67598342895508
2021-01-04 05:00:00,91.25348663330078,26.974658966064453,32.61870574951172
2021-01-05 05:00:00,91.31682586669922,27.54838752746582,32.65449523925781
2021-01-06 05:00:00,90.65972900390624,29.532922744750977,32.69743347167969
2021-01-07 05:00:00,90.6280746459961,31.42341041564941,32.783321380615234
2021-01-08 05:00:00,90.67554473876952,31.188276290893555,32.86922836303711
2021-01-11 05:00:00,89.96309661865234,30.13486862182617,32.840606689453125
2021-01-12 05:00:00,89.53556823730469,30.501680374145508,32.90502166748047
2021-01-13 05:00:00,89.95516204833984,30.65216636657715,32.87636947631836
2021-01-14 05:00:00,89.69390869140625,30.37940788269043,32.96943283081055
2021-01-15 05:00:00,89.79680633544922,28.742870330810547,32.96943283081055
2021-01-19 05:00:00,89.92346954345703,29.532922744750977,32.998077392578125
2021-01-20 05:00:00,90.02641296386719,29.420061111450195,33.041015625
2021-01-21 05:00:00,90.0897216796875,30.718000411987305,32.97660446166992
2021-01-22 05:00:00,90.12930297851562,30.9437313079834,32.99091720581055
2021-01-25 05:00:00,90.48556518554688,30.548707962036133,32.9837760925293
2021-01-26 05:00:00,90.3667984008789,30.247732162475582,32.998077392578125
2021-01-27 05:00:00,89.94721984863281,28.34784507751465,32.89070510864258
2021-01-28 05:00:00,90.13726806640624,28.987409591674805,32.91218566894531
2021-01-29 05:00:00,90.12930297851562,28.028060913085938,32.854915618896484
2021-02-01 05:00:00,90.57563018798828,28.65822029113769,32.919586181640625
2021-02-02 05:00:00,90.57563018798828,28.96859741210937,32.91239929199219
2021-02-03 05:00:00,90.34535217285156,29.485898971557617,32.90519714355469
2021-02-04 05:00:00,90.6073989868164,29.10968399047852,33.00578689575195
2021-02-05 05:00:00,90.71067810058594,29.326004028320312,32.998592376708984
2021-02-08 05:00:00,90.71067810058594,29.61756896972656,33.0345344543457
2021-02-09 05:00:00,90.38504791259766,29.35422134399414,32.991416931152344
2021-02-10 05:00:00,90.56771850585938,28.959197998046875,32.984230041503906
2021-02-11 05:00:00,90.623291015625,29.10968399047852,33.012969970703125
2021-02-12 05:00:00,90.1229476928711,28.517139434814453,33.02015686035156
2021-02-16 05:00:00,89.0190658569336,28.19735717773437,33.027347564697266
2021-02-17 05:00:00,89.51144409179688,27.727088928222656,33.070457458496094
2021-02-18 05:00:00,89.41615295410156,26.288063049316406,33.0345344543457
2021-02-19 05:00:00,88.93966674804688,26.79595375061035,33.04890060424805
2021-02-22 05:00:00,88.33606719970703,25.018335342407227,33.070457458496094
2021-02-23 05:00:00,88.43932342529297,24.67033195495605,33.09918594360352
2021-02-24 05:00:00,88.5743179321289,25.19703865051269,33.09918594360352
2021-02-25 05:00:00,86.9939193725586,23.98374557495117,33.063262939453125
2021-02-26 05:00:00,87.38304901123047,24.31293296813965,33.04890060424805
2021-03-01 05:00:00,87.8698501586914,25.23466110229492,33.092159271240234
2021-03-02 05:00:00,87.81410217285156,24.42579841613769,33.08494186401367
2021-03-03 05:00:00,87.28826904296875,22.826881408691406,33.06330871582031
2021-03-04 05:00:00,86.53935241699219,21.914554595947266,32.984004974365234
2021-03-05 05:00:00,86.52339935302734,21.60417938232422,33.04890060424805
2021-03-08 05:00:00,85.02555847167969,20.945804595947266,32.9912109375
2021-03-09 05:00:00,86.02943420410156,22.69520378112793,32.99842071533203
